Tris1,GPU1,Area1,Volume1,name1,Tris2,GPU2,Area2,Volume2,name2,Tris3,GPU3,Area3,Volume3,name3,Tris4,GPU4,Area4,Volume4,name4,Tris5,GPU5,Area5,Volume5,name5,Tris6,GPU6,Area6,Volume6,name6,Tris7,GPU7,Area7,Volume7,name7,Tris8,GPU8,Area8,Volume8,name8,Tris9,GPU9,Area9,Volume9,name9,Tris10,GPU10,Area10,Volume10,name10,Tris11,Area11,Volume11,GPU11,name11,Tris12,Area12,Volume12,GPU12,name12,Tris13,Area13,Volume13,GPU13,name13,Tris14,Area14,Volume14,GPU14,name14,Tris15,Area15,Volume15,GPU15,name15,Tris16,Area16,Volume16,GPU16,name16,Tris17,Area17,Volume17,GPU17,name17,Tris18,Area18,Volume18,GPU18,name18,Tris19,Area19,Volume19,GPU19,name19,Tris20,Area20,Volume20,GPU20,name20,Tris21,Area21,Volume21,GPU21,name21,Tris22,Area22,Volume22,GPU22,name22,Tris23,Area23,Volume23,GPU23,name23,Tris24,Area24,Volume24,GPU24,name24,Tris25,Area25,Volume25,GPU25,name25,Tris26,Area26,Volume26,GPU26,name26,GPU27,Tris27,Area27,Volume27,name27,Tris29,Area29,Volume29,GPU29,name29,Tris28,Area28,Volume28,GPU28,name28,Tris30,GPU30,Area30,Volume30,name30,Tris31,Area31,Volume31,GPU31,name31,Tris32,Area32,Volume32,GPU32,name32,Tris33,Area33,Volume33,GPU33,name33,Tris34,Area34,Volume34,GPU34,name34,Tris35,Area35,Volume35,GPU35,name35,Tris36,Area36,Volume36,GPU36,name36
146803,36.33,323.496,208.296,bigplane-expp1,4608,52.67,52.67,53.5,andyplane-adding,2304,50.33,273.6341232,2012.616,bigandy-adding,146803,46,190.2917647,122.5270588,bigplane-adding,2304,47,10.94559242,15.26104265,smallandy-adding,2324,44.5,315.0557377,1636.655738,bigcabin-adding,2324,43,15.75081967,18.30295082,smallcabin-adding,146803,49,548.2983051,353.0440678,bigplane-expp1,29128,37.67,115.3044,254.35092,bigplant-adding,29128,40.83,461.22,2025.648,giantplant-adding,215752,762.2504883,1735.026001,54.67,roomtable-adding,4907,1713.590088,8596.719727,53.33,mixed1-adding,2722,9378.820313,25362.12109,52.5,mixed2-adding,86016,52.49607468,352.9908447,57.5,mixed3-adding,151132,59.23588943,21.28495789,54.5,mixed4-adding,94080,10.37520123,23.3350029,56,mixed5-adding,10632,2426.715332,5300.25293,48,drawer-adding,4907,2338.061523,11729.56055,48,ATV-adding,161962,372.6940918,752.6112671,59,airplane-adding,42100,249.1528625,868.7610474,52.5,statue1-adding,42100,294.6829529,1027.518066,46.55,statue-adding,131072,396.3271179,167.133728,58,stone-adding,94080,11.2006979,25.19163704,57,mixed8-adding,86016,64.85324097,436.0821533,51,apricot-adding,94080,20.58303452,46.29357529,53,coca-adding,94080,11.7946434,26.52748871,54,coca3-adding,49.06,296542,12.936,1.66644,smallplane-decimating,1732015,24199.44227,73582.94008,96,mixed5-decimating,2044339,9121.240522,30282.94692,97.5,mixed4-decimating,251913.9,49.756,323.496,208.296,bigplane-decimating,1898616,8407.972778,19138.13281,96.22,roomtable-decimating,1332172,412.2379627,927.1698761,92.8,coca-decimating,2057484,1939.500648,13041.46979,90.66,apricot-decimating,1695158,37509.12329,92758.73309,93,mixed8-decimating,1360516,5156.346619,2174.464935,89.25,stone-decimating,1167854,7209.403992,25138.18018,89.63,statue-decimating
293606,49.33,646.992,416.592,,6912,53.5,105.34,107,,4608,51,547.2682464,4025.232,,293606,51,380.5835294,245.0541176,,4608,52,21.89118484,30.5220853,,4648,43.33,630.1114754,3273.311475,,4648,42.33,31.50163934,36.60590164,,293606,49.5,1096.59661,706.0881356,,58256,44.33,230.6088,508.70184,,58256,42,922.44,4051.296,,431504,1524.795044,3470.721313,54.5,,7231,1722.536974,8607.113235,51.25,,13354,12125.87451,31362.03516,55.6,,93576,219.007534,1892.990356,55.29,,297935,71.69469261,22.88937616,60,,188160,20.77397728,46.72302818,57,,21264,4799.254639,10482.1792,56,,9814,4674.060303,23448.77344,53,,323924,745.0152283,1504.469421,50,,84200,499.2495575,1740.813171,51.5,,84200,501.6081696,1749.037231,53.5,,262144,792.7792053,334.3201447,57.5,,188160,22.41073513,50.40428162,56,,172032,129.6644592,871.8816833,51,,188160,41.1886692,92.63798141,57,,188160,23.57588291,53.02483177,55,,59.3571,593084,12.936,1.66644,,1728851,24199.44227,73582.94008,94.39,,1918723,9121.240522,30282.94692,94.5,,503827.8,62,323.496,208.296,,1874884,8407.972778,19138.13281,87.67,,1317120,412.2379627,927.1698761,83.96,,2038560,1939.500648,13041.46979,79.88,,1686556,37509.12329,92758.73309,93,,1346098,5156.346619,2174.464935,78.47,,1159434,7209.403992,25138.18018,75.81,
440409,53.25,970.488,624.888,,9216,55.5,158.01,160.5,,6912,52.67,820.9023696,6037.848,,440409,50.5,570.8752941,367.5811765,,6912,50,32.83677726,45.78312795,,6972,46.67,945.1672131,4909.967213,5.194813306,6972,43.5,47.25245902,54.90885246,data is in gpu raw file,440409,51.5,1644.894915,1059.132203,0.643890496,87384,50.25,345.9132,763.05276,,87384,56,1383.66,6076.944,,647256,2287.25708,5206.22876,63,,655198,42498.47057,154388.0351,57,,164486,12180.70337,31381.73656,57.2,0.0055973,99826,233.6145744,1916.432379,53.83,,343035,1861.509878,93.04061365,54.18,,190882,7854.672903,21231.0824,57.5,,31896,7214.843262,15758.13037,55,,14721,7010.387939,35169.63574,55,,485886,1117.174286,2256.000305,58,,126300,749.1616821,2612.22168,53,,126300,708.7357178,2471.261963,52,,393216,1189.067383,501.4374542,65,,282240,33.61212921,75.5974865,56.33,,258048,194.5265198,1308.023132,55.5,,282240,61.80290794,139.0017395,56,,282240,35.35847569,79.52521896,55,,64.275,889626,12.936,1.66644,,1666043,24199.44227,73582.94008,94.39,,1912394,9121.240522,30282.94692,94,,755741.7,62.85,323.496,208.296,,1857623,8407.972778,19138.13281,87.67,,1319001,412.2379627,927.1698761,83.96,,1806330,1939.500648,13041.46979,74.53,,1677954,37509.12329,92758.73309,88,,1192750,5156.346619,2174.464935,70.71,,1374144,7209.403992,25138.18018,87.87,
587212,55.67,1293.984,833.184,,11520,47,210.68,214,,9216,55,1094.536493,8050.464,,587212,51,761.1670588,490.1082353,,9216,54,43.78236968,61.0441706,15.49245679,9296,48,1260.222951,6546.622951,12072.74612,9296,43.25,63.00327869,73.21180328,,587212,54,2193.19322,1412.176271,,116512,53.67,461.2176,1017.40368,,116512,55.2,1844.88,8102.592,,863008,3049.703247,6941.700073,63,,741214,42541.2032,154675.3752,57.67,,311289,12192.21217,31383.21864,54.8,0.013918033,102130,242.5012589,1928.823136,52.33,,761754,2908.26232,6916.84286,61.25,,193186,7863.094871,21242.8252,56.8,,42528,9632.616699,21038.85352,47,2.184126362,19628,9347.959473,46896.73828,55,5.016788664,647848,1488.86673,3006.588867,60.5,,168400,999.0986633,3483.716858,54.5,,168400,916.0660553,3194.193726,52,,524288,1585.711365,668.7048035,68,,284962,8493.839668,22953.66975,55.67,,344064,259.3754501,1744.076263,55.5,,376320,82.40900421,185.3471832,60.5,,376320,47.13710308,106.0166855,55.5,,73.08333333,1186168,12.936,1.66644,,1603235,24199.44227,73582.94008,94.39,,1909988,9121.240522,30282.94692,92.8,,1007655.6,71.83,323.496,208.296,,1685013,8407.972778,19138.13281,81.75,,1354740,412.2379627,927.1698761,85.5,,1798588,1939.500648,13041.46979,74.53,,1676079,37509.12329,92758.73309,92.33,,1179643,5156.346619,2174.464935,70.71,,1016294,7209.403992,25138.18018,73.93,
734015,59.5,1617.48,1041.48,,158323,52.67,210.68,214,,11520,57,1368.170616,10063.08,,734015,54,951.4588235,612.6352941,,11520,52.67,54.7279621,76.30521325,57.72252281,11620,48,1575.278689,8183.278689,,11620,44,78.75409836,91.5147541,,734015,55,2741.491525,1765.220339,,145640,54,576.522,1271.7546,4.000020814,145640,57.5,2306.1,10128.24,,1078760,3812.316467,8677.551758,71,,770342,42612.9662,154824.2092,61.8,,527041,13018.76363,33264.60572,61.75,31.6002939,97005,242.5012589,1928.823136,55.3,,782848,3370.866476,7476.384669,57.5,,279202,7913.176471,21579.58079,57,,53160,12052.73291,26324.69336,51,,24535,11684.3833,58618.08301,55,2.213019021,809810,1860.294922,3756.643799,62,,210500,1249.072067,4355.33905,53.5,,210500,1123.671112,3918.083435,56,,655360,1982.369934,835.978302,68.5,,287684,16941.81623,45798.61311,56,,430080,324.2133255,2180.055084,56,,470400,103.0112228,231.6839066,66,,470400,58.9146719,132.5057716,55.5,,83.2,1482710,12.936,1.66644,,1540427,24199.44227,73582.94008,88.33,,1909988,9121.240522,30282.94692,94,,1259569.5,79.54,323.496,208.296,,1423961,8407.972778,19138.13281,73.78,,1343451,412.2379627,927.1698761,85.5,,1574070,1939.500648,13041.46979,67.71,,1661398,37509.12329,92758.73309,92.33,,1022359,5156.346619,2174.464935,65.79,,858840,7209.403992,25138.18018,67.9,
880818,66.5,1940.976,1249.776,,305126,47.25,210.68,214,,13824,51.5,1641.804739,12075.696,p,880818,58.5,1141.750588,735.1623529,,13824,52,65.67355452,91.5662559,,13944,49.67,1890.334426,9819.934426,,13944,44.25,94.50491803,109.8177049,,880818,61,3289.789831,2118.264407,,174768,53,691.8264,1526.10552,7.963989279,174768,56.25,2767.32,12153.888,,1294512,4574.972473,10413.50073,77,,1189061,43475.13808,160444.7268,61.25,,529365,13031.55804,33279.46887,57.67,,515724,1330.215981,9019.659562,58.8,,786856,4055.992697,13760.29775,60.33,,324302,9270.491412,21632.78031,57.33,,63792,14468.44604,31600.9165,60,,29442,14020.14307,70336.09668,54,0.96346757,971772,2231.565125,4506.3797,61.5,,252600,1498.893692,5226.432007,52,,252600,1331.477859,4642.676392,50.5,,786432,2379.038605,1003.256058,69,,290406,25383.16389,68625.63069,55.75,,516096,389.1180191,2616.483215,57,,564480,123.626833,278.0507507,64,,564480,70.70333672,159.0198135,58,,90.428,1779252,12.936,1.66644,,1518406,24199.44227,73582.94008,87.15,,1909290,9121.240522,30282.94692,95,,1511483.4,92.7,323.496,208.296,,1186636,8407.972778,19138.13281,66.8,,1128960,412.2379627,927.1698761,78.44,,1290240,1939.500648,13041.46979,64.96,,1632036,37509.12329,92758.73309,90.5,,1009252,5156.346619,2174.464935,65.79,,854630,7209.403992,25138.18018,67.9,
1027621,65.67,2264.472,1458.072,,307430,58,263.35,267.5,,16128,54.67,1915.438862,14088.312,p,1027621,59,1332.042353,857.6894118,,16128,52.33,76.61914694,106.8272986,,16268,50.33,2205.390164,11456.59016,,16268,43.75,110.2557377,128.1206557,,1027621,62,3838.088136,2471.308475,,203896,51,807.1308,1780.45644,,203896,56,3228.54,14179.536,,1510264,5337.671326,12149.54736,89.5,,1191365,43482.21013,160454.5874,61.5,,623445,13044.17153,33307.83803,57.5,,666856,1377.564034,9036.672919,59.2,,933659,4065.643686,13761.54059,60.5,,326606,9480.711032,23098.3328,53.44,,74424,16885.27295,36879.57227,55,,34349,16356.14478,82055.32324,55.5,2.132172058,1133734,2602.716217,5255.875061,67.5,,294700,1748.758942,6097.677063,54.5,,294700,1539.533234,5368.136292,50,,917504,2775.50296,1170.447647,72,,376422,25437.21509,68989.07841,66,,602112,454.0299072,3052.959686,62,,658560,144.2426491,324.4180565,64.5,,658560,82.46823406,185.4804001,55.5,,97,2075794,12.936,1.66644,,1486043,24199.44227,73582.94008,85.2,,1908598,9121.240522,30282.94692,94.67,,1763397.3,96.08,323.496,208.296,,949300,8407.972778,19138.13281,61.25,,1119552,412.2379627,927.1698761,78.44,,1057980,1939.500648,13041.46979,62.42,,1628844,37509.12329,92758.73309,90,,851968,5156.346619,2174.464935,60.02,,715700,7209.403992,25138.18018,60.87,
1174424,65.5,2587.968,1666.368,,309734,55.5,316.02,321,,18432,56,2189.072986,16100.928,,1174424,67,1522.334118,980.2164706,,18432,52.67,87.56473936,122.0883412,3.906538449,18592,53,2520.445902,13093.2459,,18592,44,126.0065574,146.4236066,,1174424,62.5,4386.386441,2824.352542,,233024,52.67,922.4352,2034.80736,1.861245675,233024,60.2,3689.76,16205.184,,1726016,6100.154358,13885.10266,96,,1201997,45416.39311,164679.0879,64.25,,625749,13054.18652,33321.802,55.75,,760936,1388.551507,9061.384992,63.25,,935983,4076.402899,13774.03946,57.5,,347700,9929.930636,23641.68534,54,,85056,19241.85938,42026.65479,57,,39256,18692.22583,93774.94922,54,,1295696,2973.648438,6004.928467,65,,336800,1998.667328,6969.07251,56.5,,336800,1747.713043,6094.03009,54.5,,1048576,3172.075165,1337.684723,77,,462438,25491.20403,69352.10747,59,,688128,518.9360962,3489.397827,58.67,,752640,164.8701191,370.811573,62,,752640,94.23954296,211.9554081,67,,,,,,,1485105,24199.44227,73582.94008,85.2,,1905408,9121.240522,30282.94692,94.29,,,,,,,927725,8407.972778,19138.13281,61.25,,940800,412.2379627,927.1698761,70.94,,774120,1939.500648,13041.46979,59.06,,1625931,37509.12329,92758.73309,90,,681564,5156.346619,2174.464935,57.31,,711490,7209.403992,25138.18018,60.87,
1321227,65.33,2911.464,1874.664,,312038,58.5,368.69,374.5,,20736,55.33,2462.707109,18113.544,,1321227,69,1712.625882,1102.743529,,20736,53,98.51033178,137.3493839,29.68005867,20916,52.33,2835.501639,14729.90164,,20916,45.5,141.757377,164.7265574,,1321227,68,4934.684746,3177.39661,,262152,54,1037.7396,2289.15828,,262152,63.5,4150.98,18230.832,,1941768,6869.546265,15636.38379,97.5,,1353129,45454.17912,164692.6654,65.67,,654877,13154.07665,33528.97068,63,,846952,1441.572984,9417.908704,62.5,,938287,4085.048667,13786.09431,62,,766419,10953.44962,30314.02812,60.75,,95688,21598.81396,47174.5415,56,,44163,21027.52344,105490.6436,54,,1457658,3344.380951,6753.578552,65,,378900,2248.544922,7840.360657,57,,378900,1956.106506,6820.668884,57,,1179648,3568.817505,1504.993546,82.5,,548454,25545.20189,69715.19655,56.67,,774144,583.5567551,3923.916016,57.5,,846720,185.4886017,417.1848755,71.5,,846720,106.0155897,238.4410706,60,,,,,,,1484167,24199.44227,73582.94008,87.23,,1853798,9121.240522,30282.94692,91.18,,,,,,,711975,8407.972778,19138.13281,60.65,,931392,412.2379627,927.1698761,70.94,,516090,1939.500648,13041.46979,55.15,,1620105,37509.12329,92758.73309,89.67,,668457,5156.346619,2174.464935,57.31,,572560,7209.403992,25138.18018,59.58,
1468030,63.5,3234.96,2082.96,,314342,59,421.36,428,,23040,54,2736.341232,20126.16,,1468030,70.5,1902.917647,1225.270588,,23040,51,109.4559242,152.6104265,,23240,54.67,3150.557377,16366.55738,,23240,45,157.5081967,183.0295082,,1468030,69,5482.983051,3530.440678,,291280,50.75,1153.044,2543.5092,2.000005204,291280,63.75,4612.2,20256.48,,2157520,7638.888611,17387.55212,98,,1374223,45836.97945,165155.6806,64.33,,1073596,14379.18884,41515.50437,63,,853202,1456.255668,9441.472121,64.13,,948919,6454.361899,18960.97419,59,,913222,11187.87255,30464.9692,64.93,,106320,23950.33203,52310.5542,55,,49070,23362.14453,117202.9443,57,1.036775441,1619620,3715.007965,7502.015625,69,,421000,2498.379349,8711.49823,60.5,,421000,2164.70549,7548.024231,54,,1310720,3965.366608,1672.220886,87,,554704,25560.1625,69739.206,57.5,,860160,648.1665573,4358.361206,61,,940800,206.104372,463.5520782,74,,940800,117.8209648,264.9926968,61.5,,,,,,,1457384,24199.44227,73582.94008,85.6,,1800232,9121.240522,30282.94692,86.75,,,,,,,474650,8407.972778,19138.13281,53.74,,921984,412.2379627,927.1698761,71.1,,508348,1939.500648,13041.46979,55.15,,1602249,37509.12329,92758.73309,89.67,,511173,5156.346619,2174.464935,54.22,,429420,7209.403992,25138.18018,53.5,
