distance,0.8,0.6,0.4,0.2,name,,,,,,,
2,0.011037,0.011691,0.014472,0.07506,bike,,,,,,,
3.99,0.002933,0.003044,0.003863,0.025176,bike,,,,,,,
5.99,0.001076,0.001087,0.003021,0.011668,bike,,,,,,,
7.98,0.001292,0.001296,0.001515,0.007755,bike,,,,,,,
9.98,0.000279,0.000413,0.002147,0.005354,bike,,,,,,,
11.97,0.000478,0.000477,0.001642,0.004267,bike,,,,,,,
13.97,0.001085,0.001103,0.00145,0.003002,bike,,,,,,,
15.96,0.00076,0.000774,0.001754,0.002552,bike,,,,,,,
17.96,0.000202,0.000261,0.001706,0.003141,bike,,,,,,,
19.95,0.000212,0.000211,0.002093,0.002353,bike,,,,,,,
21.95,0.000378,0.000376,0.001499,0.003247,bike,,,,,,,
23.94,6.70E-05,7.90E-05,0.000786,0.001727,bike,,,,,,,
25.94,0.00128,0.001264,0.001504,0.003091,bike,,,,,,,
27.93,0.00034,0.000297,0.001569,0.002443,bike,,,,,,,
29.93,0.000825,0.000824,0.002044,0.002658,bike,,,,,,,
31.92,0.000117,0.000278,0.000834,0.002085,bike,,,,,,,
33.92,0.000544,0.000584,0.001937,0.001634,bike,,,,,,,
35.91,0.000109,0.000126,0.000715,0.001298,bike,,,,,,,
37.91,0.000857,0.000871,0.001263,0.001751,bike,,,,,,,
39.9,0.000142,0.000662,0.001109,0.001459,bike,,,,,,,
41.9,0.000194,0.000205,0.001043,0.002028,bike,,,,,,,
43.89,0.000429,0.00042,0.001315,0.001191,bike,,,,,,,
45.89,0.000496,0.000572,0.00146,0.001593,bike,,,,,,,
0.22,0.017197,0.130268,0.173392,0.231207,Cabin,,,,,,,
0.44,0.011877,0.067363,0.094113,0.148017,Cabin,,,,,,,
0.66,0.009089,0.048125,0.068116,0.112531,Cabin,,,,,,,
0.88,0.005202,0.036001,0.055424,0.09112,Cabin,,,,,,,
1.1,0.005217,0.029856,0.044151,0.072741,Cabin,,,,,,,
1.32,0.003434,0.026133,0.034796,0.06132,Cabin,,,,,,,
1.54,0.002409,0.02178,0.029051,0.056244,Cabin,,,,,,,
1.76,0.001742,0.02146,0.023492,0.050854,Cabin,,,,,,,
1.98,0.001318,0.019368,0.022476,0.046118,Cabin,,,,,,,
2.2,0.001151,0.016498,0.018759,0.040869,Cabin,,,,,,,
2.42,0.001107,0.016443,0.017777,0.038667,Cabin,,,,,,,
2.64,0.000527,0.014636,0.017429,0.037662,Cabin,,1.17,0,0.026932,0.034349,0.038917,0.080697
2.86,0.001107,0.012951,0.012005,0.035144,Cabin,,2.31,0,0.012774,0.014648,0.017751,0.03277
3.08,0.000748,0.012987,0.013238,0.034426,Cabin,,3.47,0,0.009128,0.00959,0.010326,0.018447
3.3,0.000478,0.01126,0.012092,0.032198,Cabin,,4.63,0,0.005916,0.006358,0.006655,0.012777
3.52,0.000403,0.010764,0.011123,0.031954,Cabin,,5.79,0,0.00502,0.00548,0.0056,0.009189
3.74,0.000353,0.009376,0.011257,0.0305,Cabin,,6.96,0,0.002939,0.002859,0.003283,0.007396
3.96,0.000287,0.008778,0.00877,0.027488,Cabin,,8.13,0,0.001747,0.002038,0.002227,0.006081
4.18,0.000197,0.008876,0.010051,0.026787,Cabin,,9.29,0,0.001833,0.001759,0.003069,0.00584
4.4,0.000176,0.006971,0.009179,0.027315,Cabin,,10.46,0,0.001623,0.001814,0.002175,0.00564
4.62,0.000192,0.005974,0.008384,0.026123,Cabin,,11.63,0,0.001855,0.001452,0.001981,0.004096
4.84,0.000461,0.005487,0.006096,0.024555,Cabin,,12.79,0,0.00123,0.001488,0.001661,0.003327
0.74,0.028523,0.031025,0.048577,0.080432357,andy,,13.96,0,0.001152,0.001729,0.001712,0.004073
1.62,0.013952,0.015466,0.028365,0.039561218,andy,,15.13,0,0.000746,0.000882,0.001024,0.002408
2.44,0.009772,0.011008,0.021441,0.027301462,andy,,16.3,0,0.000922,0.000778,0.001241,0.003069
3.23,0.00757,0.008865,0.017412,0.021177375,andy,,17.47,0,0.000828,0.000876,0.001359,0.002866
4.01,0.006416,0.007251,0.014539,0.017409978,andy,,18.64,0,0.000339,0.000855,0.000951,0.001794
4.78,0.005659,0.006619,0.01167,0.014849633,andy,,19.81,0,0.001052,0.000837,0.000894,0.002196
5.55,0.005373,0.005913,0.010184,0.01297101,andy,,20.97,,0.000441,0.000461,0.000494,0.001076
6.31,0.004689,0.005061,0.008459,0.011547789,andy,,22.14,,0.000234,0.000405,0.000672,0.001859
7.07,0.003105,0.003856,0.006963,0.010417682,andy,,23.31,,0.000243,0.000353,0.000422,0.001224
7.83,0.003773,0.00433,0.007083,0.009497616,andy,,24.48,,0.000334,0.000605,0.00084,0.001637
8.59,0.003172,0.003776,0.005655,0.008733352,andy,,25.65,,0.00031,0.000454,0.000602,0.001393
9.34,0.004608,0.005232,0.005906,0.008095785,andy,,26.82,,0.000122,0.000329,0.000435,0.001
10.1,0.003043,0.003134,0.004812,0.007542089,andy,,27.99,,0.000078,0.000111,0.000256,0.000633
10.85,0.002686,0.003298,0.004994,0.007068379,andy,,29.16,,0.000131,0.000116,0.00056,0.001025
11.6,0.002695,0.003543,0.005175,0.006653219,andy,,30.33,,0.000155,0.000159,0.000294,0.000942
0.68,0.060935,0.069128,0.076018,0.075418,chair,,31.5,,0.000053,0.000259,0.000231,0.00133
